PRS_NAT;libelle_prestation;libelle_prestation_en_b2
1722;FORFAIT PROFESSIONNEL (F02) FILIERES ET RESEAUX;F02
1724;FORFAIT PROFESSIONNEL (F04) FILIERES ET RESEAUX;F04
1727;FORFAIT PROFESSIONNEL (F07) FILIERES ET RESEAUX;F07
1728;FORFAIT PROFESSIONNEL (F08) FILIERES ET RESEAUX;F08
1729;FORFAIT PROFESSIONNEL (F09) FILIERES ET RESEAUX;F09
1735;FORFAIT PROFESSIONNEL (F14) FILIERES ET RESEAUX;F14
1744;FORFAIT CONSULTATION (FC3) FILIERES ET RESEAUX;FC3
1745;FORFAIT CONSULTATION (FC4) FILIERES ET RESEAUX;FC4
1763;FORFAIT FORMATION (FF2) FILIERES ET RESEAUX;FF2
1764;FORFAIT FORMATION (FF3) FILIERES ET RESEAUX;FF3
1766;FORFAIT FORMATION (FF5) FILIERES ET RESEAUX;FF5
1767;FORFAIT FORMATION (FF6) FILIERES ET RESEAUX;FF6
1771;FORFAIT FORMATION (FF9) FILIERES ET RESEAUX;FF9
1781;FORFAIT PREVENTION/DEPISTAGE (FP0) FILIERES ET RESEAUX;FP0
1782;FORFAIT PREVENTION/DEPISTAGE (FP1) FILIERES ET RESEAUX;FP1
1783;FORFAIT PREVENTION/DEPISTAGE (FP2) FILIERES ET RESEAUX;FP2
1784;FORFAIT PREVENTION/DEPISTAGE (FP3) FILIERES ET RESEAUX;FP3
1785;FORFAIT PREVENTION/DEPISTAGE (FP4) FILIERES ET RESEAUX;FP4
1786;FORFAIT PREVENTION/DEPISTAGE (FP5) FILIERES ET RESEAUX;FP5
1787;FORFAIT PREVENTION/DEPISTAGE (FP6) FILIERES ET RESEAUX;FP6
1788;FORFAIT PREVENTION/DEPISTAGE (FP7) FILIERES ET RESEAUX;FP7
1811;IK PLAINE;IK IKP
1812;IK MONTAGNE;IKM
1813;IK PIED SKI;IKS
1814;FRAIS DE DEPLACEMENT VACATION;IKG
1821;ID PARIS LYON MARSEILLE, +100.000 HA, -100.000 HA;ID
1841;INDEMNITES FORFAITAIRES DE DEPLACEMENT;IF
1842;INDEMNITES FORFAITAIRES DE DEPLACEMENT DES AUXILIAIRES MEDICAUX ET ASSIMILES;IFA
1843;INDEMNITES FORFAITAIRES DE DEPLACEMENT MK ORTHOPEDIQUE ET RHUMATOLOGIQUE;IFO
1844;INDEMNITES FORFAITAIRES DE DEPLACEMENT MK RHUMATISMALE;IFR
1845;INDEMNITES FORFAITAIRES DE DEPLACEMENT MK NEUROLOGIQUE;IFN
1846;INDEMNITES FORFAITAIRES DE DEPLACEMENT MK PNEUMOLOGIE;IFP
1847;INDEMNITES FORFAITAIRES DE DEPLACEMENT DE SORTIE;IFS
1903;MAJORATION ENFANT GENERALISTE ;MEG
1904;MAJORATION ENFANT PEDIATRE;MEP
1905;NOUVEAU FORFAIT ENFANT;NFE
1906;NOUVEAU FORFAIT PEDIATRIQUE;NFP
1907;REMUNERATION DES SOINS DE PROXIMITE;PRX
1908;FORFAIT SORTIE PRECOCE ET TEST GUTHRIE;SP2
1909;FORFAIT SORTIE PRECOCE;SP1
1910;Plan personnalisé de santé;PPS
1911;ACTES DES SAGES-FEMMES;SF
1912;HONORAIRES NON VENTILABLES INDIVIDUALISES;NA
1913;MAJORATION MILIEU DE NUIT;MM
1914;FORFAIT PEDIATRIQUE;FPE
1915;FORFAIT ASTREINTE PROF;ASR
1916;REMUNERATION POUR GARDE ETS PRIVES;RPG
1917;REMUNERATION POUR ASTREINTE ETS PRIVES;RPA
1918;MAJORATION D'URGENCE;MU
1920;CONTRAT DEMOGRAPHIQUE SAGE-FEMME;CIS
1921;TEST DE DIAGNOSTIC RAPIDE ;TDR
1922;CONSULTATION;CG
1923;EXAMEN DE SUIVI POST NATAL;SP
1924;REMUNERATION VACCINATION GRIPPE A MEDECIN;VGM
1925;REMUNERATION VACCINATION GRIPPE A PAR MEDECIN RETRAITE ET SALARIES HORS OBLIGATIONS ;VMR
1926;ACTE DE VACCINATION GRIPPE A/H1N1;VAC
1931;MAJORATION NOURRISSON PEDIATRE;MNP
1932;MAJORATION NOURRISSON GENERALISTE;MNO
1933;MAJORATION CONSULTATION REGULEE  DE NUIT;CRN
1934;MAJORATION CONSULTATION REGULEE MILIEU DE NUIT;CRM
1935;MAJORATION CONSULTATION REGULEE DIMANCHE, JOURS FERIES ET ASSIMILES;CRD
1936;MAJORATION VISITE REGULEE  DE NUIT;VRN
1937;MAJORATION VISITE REGULEE MILIEU DE NUIT;VRM
1938;MAJORATION VISITE REGULEE DE DIMANCHE, JOURS FERIES ET ASSIMILES;VRD
1939;MAJORATION SAGE-FEMME;MSF
1940;FORFAIT SORTIE PRECOCE;DSP
1941;MAJORATION CONSULTATION REGULEE SAMEDI APRES MIDI;CRS
1942;MAJORATION VISITE REGULEE SAMEDI APRES MIDI;VRS
1943;MAJORATION URGENCE MT;MUT
1944;MAJORATION CORRESPONDANT URGENCE;MCU
1945;MAJORATION MEDECIN TRAITANT REGULATION;MRT
1951;PARTICIPATION FORFAITAIRE HORS TIERS PAYANT;PFH
1952;PARTICIPATION FORFAITAIRE TIERS PAYANT;PFT
1954;PARTICIPATION ASSURE CONSULTATIONS ET SOINS EXTERNES (CMU + AME);PAE
1955;PARTICIPATION ASSURE CONSULTATIONS ET SOINS EXTERNES (REGIME LOCAL);PAL
1956;PARTICIPATION ASSURE EN AMBULATOIRE;PAP
1957;MAJORATION HORS PARCOURS DE SOINS;TMT
1960;SUPPLEMENT DEROGATOIRE SG SUR ACTE PROFESSIONNEL NON REMBOURSABLE (CNMSS);SGA
1961;SUPPLEMENT DEROGATOIRE SG SUR ACTE PROFESSIONNEL REMBOURSABLE (CNMSS);DAP
1971;FRANCHISE HORS TIERS PAYANT SUR MEDICAMENT;FRH
1972;FRANCHISE TIERS PAYANT SUR MEDICAMENT;FRT
1973;FRANCHISE HORS TIERS PAYANT SUR TRANSPORT;FRH
1974;FRANCHISE TIERS PAYANT SUR TRANSPORT;FRT
1975;FRANCHISE HORS TIERS PAYANT ACTE D'AUXILIAIRE MEDICAUX;FRH
1976;FRANCHISE TIERS PAYANT ACTE D'AUXILIAIRE MEDICAUX;FRT
1977;PARTICIPATION ASSURE HORS TIERS PAYANT TRANSMISE SANS ACTE DE REFERENCE OU TYPE DE FRANCHISES;FRH
1978;PARTICIPATION ASSURE EN TIERS PAYANT TRANSMISE SANS ACTE DE REFERENCE OU TYPE DE FRANCHISES;FRT
1981;FORFAIT IVG HONORAIRES DE VILLE;FHV
1990;FORFAIT D'INTERVENTION PAR SORTIE SUR DEMANDE DE LA REGULATION;FIM
1991;REMUNERATION REGULATION;REG
1992;PERMANENCE REMUNERATION DE NUIT;PRN
1993;PERMANENCE REMUNERATION MILIEU DE NUIT;PRM
1994;PERMANENCE REMUNERATION DIMANCHE ET FERIE;PRD
1995;PERMANENCE REMUNERATION TOTAL;PRT
1996;PERMANENCE REMUNERATION SAMEDI MATIN;RSA
1997;PERMANENCE REMUNERATION SAMEDI APRES MIDI;RSP
1998;ASTREINTE DE JOUR CORRESPONDANT SAMU;AJS
1999;ASTREINTE DE NUIT CORRESPONDANT SAMU;ANS
2103;SUPPLEMENT TRANSPORT PERMISSION THERAPEUTIQUE (PSY/SSR);ST3
2104;SUPPLEMENT TRANSPORT PROVISOIRE (PSY/SSR);ST2
2105;SUPPLEMENT TRANSPORT DEFINITIF (PSY/SSR);ST1
2106;TRANSPORT DEFINITIF DIALYSE;TDD
2107;TRANSPORT SEANCE DIALYSE;TSD
2108;SUPPLEMENT TRANSPORT 2;TDE
2109;SUPPLEMENT TRANSPORT SEANCES;TSE
2111;FRAIS D HEBERGEMENT ET ENVIRONNEMENT EN GHS;GHS
2112;FRAIS DE SEJOUR SUPPLEMENTAIRE AU GHS;EXH
2113;GROUPE HOMOGENE DE TARIFS;GHT
2114;SUPPLEMENT SOINS PARTICULIEREMENT COUTEUX (ARRETE DU 29/06/1978);SRA
2115;SUPPLEMENT SOINS CONTINUS;SSC
2116;SUPPLEMENT NEONATOLOGIE 1;NN1
2117;SUPPLEMENT NEONATOLOGIE 2;NN2
2118;SUPPLEMENT NEONATOLOGIE 3;NN3
2119;SUPPLEMENT DEFIBRILLATEUR;SDC
2120;DIFFERENTIEL TARIFAIRE CLINIQUE;DTC
2121;HEMODIALYSE EN CENTRE OU EN UNITE DE DIALYSE MEDICALISEE;D01
2122;AUTODIALYSE SIMPLE OU ASSISTEE;D02
2123;ENTRAINEMENT A L HEMODIALYSE A DOMICILE ET A L AUTODIALYSE;D03
2124;ENTRAINEMENT A LA DPA;D04
2125;ENTRAINEMENT A LA DPCA;D05
2126;HEMODIALYSE A DOMICILE;D06
2127;DIALYSE PERITONEALE AUTOMATISEE (DPA);D07
2128;DIALYSE PERITONEALE CONTINUE AMBULATOIRE (DPCA);D08
2129;FORFAIT D'HEMODIALYSE EN CENTRE;D09
2131;FORFAIT D HEMODIALYSE EN CENTRE POUR ENFANT;D10
2132;FORFAIT D HEMODIALYSE EN UNITE DE DIALYSE MEDICALISEE;D11
2133;DIALYSE TIERCE PERSONNE;DTP
2134;FORFAIT D AUTODIALYSE SIMPLE;D12
2135;FORFAIT D AUTODIALYSE ASSISTEE;D13
2136;FORFAIT D HEMODIALYSE A DOMICILE;D14
2137;FORFAIT DE DIALYSE PERITONEALE AUTOMATISEE (DPA);D15
2138;FORFAIT DE DIALYSE PERITONEALE CONTINUE AMBULATOIRE (DPCA);D16
2139;FORFAIT D ENTRAINEMENT A L HEMODIALYSE A  DOMICILE ET AUTODIALYSE;D17
2140;FORFAIT D ENTRAINEMENT A LA DIALYSE PERITONEALE AUTOMATISEE;D18
2141;FRAIS DE CHAMBRE PARTICULIERE POUR CONVENANCE PERSONNELLE;CPC
2142;FORFAIT D ENTRAINEMENT A DIALYSE PERITONEALE CONTINUE AMBULATOIRE;D19
2143;FF D ENTRAINEMENT A LA DIALYSE PERITONEALE AUTOMATISEE A DOMICILE;D20
2144;FF D ENTRAINEMENT A LA DIALYSE PERITONEALE CONTINUE AMBULATOIRE A DOMICILE;D21
2145;FORFAIT DE DIALYSE PERITONEALE AUTOMATISE POUR HOSPITALISATION DE 3 A 6 JOURS;D22
2146;FORFAIT DE DIALYSE PERITONEALE CONTINUE AMBULATOIRE POUR HOSPITALISATION DE 3 A 6 JOURS;D23
2147;FORFAIT D'ENTRAINEMENT A L'HEMODIALYSE EN UNITE DE DIALYSE MEDICALISEE;D24
2150;VIDEOCAPSULE;VDE
2151;SUPPLEMENT REANIMATION;REA
2152;SUPPLEMENT SURVEILLANCE CONTINUE;SRC
2153;FORFAIT SOINS INTENSIFS;STF
2154;REANIMATION PEDIATRIQUE;REP
